index	image_idx	cell_idx	row	col	shape	color
0	0	0	0	0	square	blue
1	0	1	0	1	circle	green
2	0	2	0	2	none	none
3	0	3	1	0	circle	blue
4	0	4	1	1	square	red
5	0	5	1	2	triangle	red
6	0	6	2	0	none	none
7	0	7	2	1	square	red
8	0	8	2	2	circle	red
9	1	0	0	0	square	green
10	1	1	0	1	triangle	blue
11	1	2	0	2	none	none
12	1	3	1	0	square	blue
13	1	4	1	1	square	red
14	1	5	1	2	square	green
15	1	6	2	0	none	none
16	1	7	2	1	square	blue
17	1	8	2	2	square	red
18	2	0	0	0	square	blue
19	2	1	0	1	square	red
20	2	2	0	2	square	green
21	2	3	1	0	none	none
22	2	4	1	1	circle	red
23	2	5	1	2	none	none
24	2	6	2	0	triangle	green
25	2	7	2	1	triangle	red
26	2	8	2	2	triangle	green
27	3	0	0	0	square	blue
28	3	1	0	1	square	blue
29	3	2	0	2	square	green
30	3	3	1	0	square	green
31	3	4	1	1	square	red
32	3	5	1	2	square	blue
33	3	6	2	0	none	none
34	3	7	2	1	square	blue
35	3	8	2	2	square	green
36	4	0	0	0	square	red
37	4	1	0	1	circle	red
38	4	2	0	2	square	blue
39	4	3	1	0	none	none
40	4	4	1	1	triangle	blue
41	4	5	1	2	none	none
42	4	6	2	0	square	red
43	4	7	2	1	triangle	green
44	4	8	2	2	square	green
45	5	0	0	0	none	none
46	5	1	0	1	square	green
47	5	2	0	2	circle	blue
48	5	3	1	0	none	none
49	5	4	1	1	square	green
50	5	5	1	2	square	green
51	5	6	2	0	none	none
52	5	7	2	1	square	blue
53	5	8	2	2	square	green
54	6	0	0	0	circle	red
55	6	1	0	1	square	green
56	6	2	0	2	square	blue
57	6	3	1	0	triangle	blue
58	6	4	1	1	triangle	green
59	6	5	1	2	square	blue
60	6	6	2	0	none	none
61	6	7	2	1	none	none
62	6	8	2	2	triangle	blue
63	7	0	0	0	triangle	green
64	7	1	0	1	none	none
65	7	2	0	2	triangle	green
66	7	3	1	0	none	none
67	7	4	1	1	square	green
68	7	5	1	2	circle	green
69	7	6	2	0	none	none
70	7	7	2	1	square	red
71	7	8	2	2	triangle	green
72	8	0	0	0	triangle	blue
73	8	1	0	1	triangle	green
74	8	2	0	2	triangle	red
75	8	3	1	0	square	red
76	8	4	1	1	triangle	blue
77	8	5	1	2	square	blue
78	8	6	2	0	none	none
79	8	7	2	1	circle	blue
80	8	8	2	2	square	blue
81	9	0	0	0	square	red
82	9	1	0	1	circle	green
83	9	2	0	2	circle	green
84	9	3	1	0	circle	red
85	9	4	1	1	none	none
86	9	5	1	2	triangle	blue
87	9	6	2	0	none	none
88	9	7	2	1	none	none
89	9	8	2	2	none	none
90	10	0	0	0	triangle	red
91	10	1	0	1	square	green
